learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,0.375,4.8586322615544004E-8,100000.0,88.991,77.33715410237035,77.32160514172709,73.90119008107723,100000.0,500824.0,187.0,118.0,118.0,5.0,0.0,0.0,1.0
200000.0,0.703125,1.1289744482686123E-7,200000.0,90.81099999999999,81.11145548793807,81.12366474938372,78.20911095828689,200000.0,757616.0,290.0,180.0,180.0,6.0,0.0,0.0,1.0
300000.0,1.015625,1.8950778111401532E-7,300000.0,91.76633333333334,83.09165675636459,83.11712278207618,80.47459824357547,300000.0,947632.0,368.0,228.0,228.0,6.0,0.0,0.0,1.0
400000.0,1.328125,2.933935805534323E-7,400000.0,92.38,84.35710847288723,84.38628574941217,81.93135337008714,400000.0,1285016.0,489.0,311.0,311.0,7.0,0.0,0.0,1.0
500000.0,1.671875,4.297983185905549E-7,500000.0,92.8996,85.41943319649404,85.42287699243676,83.13404118862681,500000.0,1533872.0,598.0,370.0,370.0,7.0,0.0,0.0,1.0
600000.0,2.015625,5.860874403475059E-7,600000.0,93.33283333333333,86.31532998477745,86.3253969610474,84.17978327928498,600000.0,1757472.0,687.0,428.0,428.0,7.0,0.0,0.0,1.0
700000.0,2.3125,7.399822223103709E-7,700000.0,93.67414285714287,87.01865030813023,87.02483334554246,84.99584921643373,700000.0,2003792.0,792.0,497.0,497.0,8.0,0.0,0.0,1.0
800000.0,2.625,9.315591564195024E-7,800000.0,93.9505,87.58491364773072,87.5883187193369,85.64513258586938,800000.0,2369712.0,924.0,584.0,584.0,8.0,0.0,0.0,1.0
900000.0,2.9375,1.1460809037089348E-6,900000.0,94.21133333333333,88.12222394833833,88.12348403333759,86.26614646491275,900000.0,2653528.0,1020.0,647.0,647.0,8.0,0.0,0.0,1.0
1000000.0,3.328125,1.441030439713763E-6,1000000.0,94.4465,88.60563760424832,88.61072828993782,86.82634304406717,1000000.0,2918704.0,1124.0,720.0,720.0,9.0,3984.0666666666666,0.0,1.017491898283719
